text,label
"This movie makes me want to throw up every time I see it. If you take the first movie, and reverse the plot (ariel wants to leave the sea, her daughter wants to go to the sea), take the same characters and give them new animals and new names, and then throw in crappy animation and the biggest suck factor, possible, you get the little mermaid 2. Its basically a copy of the first movie with a reversed plot. I'll take you through the horror of it step by step. These are the people from the 1st movie: First of all, Prince Eric is still prince eric, with about 3 lines in the whole movie. Ariel is uptight, annoying, and is not the carefree, headstrong spirit we saw in the 1st. In fact, she is the exact opposite. Sebastian is still sebastian only less cute, less convincing as being stressed out, and the jokes just aren't funny anymore. Flounder has about 2 lines. He now has kids and he talks with a dumb nasal voice. Scuttle is still dumb scuttle only not funny. King Triton's character is probably the best, he still retains the intimidation and love for his daughter, Melody. Ariel and Prince Eric appear not to give a hoot about their daughter. <br /><br />Like i said, all they did was use the characters from the first movie and copy them. This is what they did: Ursula- The new evil villain is Morgana, Ursula's sister who feels like she always lived in Ursula's shadow. I wouldn't be scared of her if she showed up at my doorway with a knife. She can't do anything right and she's a failure as a villain. She has the same voice ursula did. Sebastian & Flounder - Have been replaced by probably the most stupid sidekicks, Tip & Dash, a walrus and a penguin. They try to be hero's but always fail when trying. the plot is so predictable. They become heroes at the end. Yawn. Flatson& Jetsom- Now replaced by a shark who was turned about 10x smaller by triton. Hes really bad too. Morgana and the shark (sharkbait, I think was his name) have no chemistry, good or bad. Ariel-Ah, Ariel. Our lovely mermaid was replaced by her un-lovely daughter, melody. Melody cannot sing, her voice is about 2 octaves higher than it should be, and you want to punch her in the face because shes so fake sugary sweet. She wants to go to the sea, she is clumsy and the kids make fun of her, she has to go find herself. yawn.<br /><br />Not only is the movie boring and unoriginal its so simplistic when you watch this movie you will gasp at how bad it is. Certain parts of the movie make you want to call Disney up and demand why such a horrible movie was made as a sequel to such a wonderful original.<br /><br />Basically, comparing the little mermaid 2 to the little mermaid is like comparing and Ed Wood movie to Casablanca. Don't ever watch this, not even when your bored.",0
"Listening to the director's commentary confirmed what I had suspected whilst watching the film: this is a movie made by a guy who wants to play at making a movie. The plot is the kind of thing that deluded teenagers churn out when they're going through that ""I could write a book/screenplay/award winning sitcom"" phase. There's a germ of an interesting idea buried in there (probably because its a sequel to some-one else's movie), but it is totally buried under an underwritten, badly executed and laughably un-thought-out script.<br /><br />The lines are dire, and the performances are un-engaging, though again, I'm inclined to blame the director. He does not appear to have consulted the actors at all about what is required, rather plonked the script in their hands, pointed the camera at them and told them to get on with it. Who knows, with a little coaching, these actors could have acquitted themselves better (say what you like about musicians in movies, Jon Bon Jovi was excellent in Row Your Boat and more than acceptable in The Leading Man).<br /><br />As it stands, the cast have no chemistry whatsoever. A beautiful opportunity to use the classic sex and vampirism parallel is passed up when, in order to infect Bon Jovi's character with vampire blood from his ailing co-hunter, he is given a transfusion. She should have bitten him. Mind you, they should have looked vaguely interested in each other throughout the rest of the film too. The only real moment of sexual tension, between the two female leads, is by the directors own admittance accidental. He had originally intended to use this silent sequence as an excuse for more pointless plot exposition - so, I suppose the finished product could have conceivably been worse. But not a lot.<br /><br />Frankly, as movies go, this is badly plotted, silly and forgettable. Even as trashy movies go it's not sexy enough or gory enough to be entertaining. It could have been a fun and bloody little romp, but the director has left with more of a comedy, for all the wrong reasons.",0
"One of the best Tarzan films is also one of its most action packed (and graphic).<br /><br />Picking up a year or so after Tarzan the Ape Man, Niel Hamilton's Holt has asked a rich friend to finance a safari back to the elephants graveyard to collect ivory. His Friend arrives also carrying dresses and perfumes that Holt hopes to use to win Jane back from Tarzan. Before they can leave Holt finds his map stolen and it becomes a mad dash to try and capture a competing expedition. When they finally over take the thieves they find the whole party dead and themselves surrounded. They have no choice but to fight their way out and soon find they are out of the frying pan and into the fire. Eventually Tarzan and Jane show up and everyone is off on even more adventures.<br /><br />Infamous film was heavily censored to reduce the graphic violence (Its graphic even by todays standards. It probably would get a PG 13) and to remove all hint of nudity, (there is a several minute long nude swim scene involving Jane that is full frontal in its nudity, it was only recently restored). Its clear watching the restored version why this film was reduced by 20 minutes in its run time for TV. As it stands in its restored version this is a very adult film that is romantic, touching, action filled and everything else that a movie should be. Its an amazing film by almost any standard. Best of all its the sort of film that plays well both as a stand alone adventure, one need not to have seen the first film to enjoy it, but its also a film that deepens the characters and themes that were set up in that original film. Its an amazing thing.<br /><br />I really like this film a great deal.<br /><br />If there are any flaws to the film, its perhaps that the film hasn't aged well. The rear screen is often very obvious, there are gorilla suits for many of the apes and some of the other effects are more quaint rather than convincing. However on almost every other level this film is top notch.<br /><br />You really owe it to yourself to see this. Make yourself a big bowl of popcorn and curl up on the couch and just let yourself drift back to a simpler time. This is one of the great adventures.",1
"Valentine is now one of my favorite slasher films. The death scenes are elaborate and the most of the acting is good. Marley Shelton did great as the female lead (much better than Jennifer Love Hewitt in the ""I Know..."" films). David Boreanaz, whom is the main reason I saw this movie, had a pretty small role, but he played it well. The exception to the list of good actors is Denise Richards. She was horrible in this. The only scene I was glad to see her in was *SPOILER* her death scene. All in all, it's a good movie to watch. You should definitely watch this before you watch ""Scream"" or ""I Know..."" again.",1
"No mention if Ann Rivers Siddons adapted the material for ""The House Next Door"" from her 1970s novel of the same title, or someone else did it. This Lifetime-like movie was directed by Canadian director Jeff Woolnough. Having read the book a long time ago, we decided to take a chance when the film showed on a cable version of what was clearly a movie made for television. You know that when the critical moments precede the commercials, which of course, one can't find in this version we watched.<br /><br />The film's star is Lara Flynn Boyle who sports a new look that threw this viewer a curve because of the cosmetic transformation this actress has gone through. From the new eyebrows to other parts of her body, Ms. Boyle is hardly recognizable as Col Kennedy, the character at the center of the mystery. This was not one of the actress better moments in front of the camera. That goes for the rest of the mainly Canadian actors that deserved better.<br /><br />The film has a feeling of a cross between ""Desperate Houswives"" with ""The Stepford Wives"" and other better known features, combined with a mild dose of creepiness. The best thing about the movie was the house which serves as the setting.",0
"Several years ago the Navy kept a studied distance away from the making of ""Men of Honor,"" a film based on the experiences of the service's first black master chief diver's struggle to overcome virulent racism. Ever eager to support films showing our Navy's best side the U.S.S. Nimitz and two helicopter assault carriers, with supporting shore installations, were provided to complement this engrossing tale of a young sailor's battle with uncontrollable rage. Some of the movie was shot aboard the U.S.S. Belleau Wood.<br /><br />Antwone Fisher wrote the script for Denzel Washington's director's debut in which he stars as a Navy psychiatrist treating Fisher, played effectively and deeply by Derek Luke.<br /><br />Fisher is an obviously bright enlisted man assigned to the U.S.S. Belleau Wood (LHA-3), a front line helicopter assault platform. Fisher can't seem to avoid launching his own assaults at minimal provocation from his fellow enlisted men. Sent to the M.D. as part of a possible pre-separation proceeding, Fisher slowly opens up to the black psychiatrist, revealing an awful childhood of great neglect and shuddering brutality.<br /><br />The story develops as Fisher cautiously but increasingly trusts his doctor and gets the courage to pursue a love interest, an enlisted sailor named Cheryl, played by a stunningly beautiful Joy Bryant.<br /><br />Fisher reluctantly engages with the doctor by asking long simmering questions but soon realizes he must seek the answers, however painful, in order to grow and move away from conflict-seeking destructive behavior.<br /><br />While all the main characters are black, this story transcends race while unflinchingly showing the evil of exuberant religiosity and concomitant hypocrisy in foster family settings. Viola Davis, a versatile actress seen in a number of recent films, is a picture of sullen immorality but is nothing compared to foster mom, Mrs. Tate (Novella Nelson), who in short but searing scenes would earn - if it existed - the Oscar for gut-churning brutality.<br /><br />Films about patient-therapist interaction follow a certain predictability (all that transference and counter-transference stuff) but the earnestness of Fisher and his doctor/mentor is realistically gripping. It's a good story, well told. Period.<br /><br />While set in the Navy, ""Antwone Fisher"" is not in any real sense a service story as was ""Men of Honor,"" an excellent movie that dealt with crushing racism directed against a real person. Nor is it truly a film about blacks. It's about surviving terrible childhood experiences and, as Fisher says, being able to proclaim in adulthood that the victim is still ""standing tall."" The persecutors shrink in size and significance as a brave and strong young man claims his right to a decent life with the aid of a caring doctor.<br /><br />My only quibble is that Washington is a lieutenant commander but is addressed as commander. With all the Navy support people listed in the end credits, someone should have told Director Washington that his character, like all naval officers below the rank of commander, is addressed as ""Mister."" Not a big criticism, is it? :)<br /><br />I don't know why this film is playing in so few theaters. It deserves wide distribution. Derek Luke may well get an Oscar nomination.<br /><br />8/10.<br /><br />",1
"This is a masterpiece footage in B/W 35mm film. The film makes you see a strange way to begin the day at 7:35 am in a bar and how much things can happen there in 8 minutes.<br /><br />The short amazingly, gets you in a complex story using very little elements, and step to step makes you realize that something isn't totally right. It expresses a lot, makes your adrenalin go high with subtle details, and is incredibly understandable by anyone, not just the cinema critics experts.<br /><br />But I know how it sounds : European short, black and white and low budgeted. Don't let that scare you. Is really worth to see by anyone, not just experts in the genre.<br /><br />Isn't really much more to tell, since the film just lasts 8 minutes (exactly), and I don't want to spoil it. But I just watched it online and I couldn't understand why no one spent a few minutes to post a comment about it.<br /><br />Really worth watching it. 10/10.",1
"Such a long awaited movie.. But it has disappointed me and my friends who had gone to see the movie on the first day.. From the trailers it looked like a action movie, but it turned out to be a out & out comedy(a bad comedy). But one thing that deserves appreciation is the acting by these professional actors, they've done their part of the movie very well. Good acting, but i don't think that can save the movie.. India has been shot beautifully. Kerala, Rajasthan, (Ladakh?) were all saturated with color, alright. Nevertheless the way the intrinsic beauty of these places was shot made me want to find out exactly where those places were and when I could go there ;-)<br /><br />Action sequences were shot very shabbily, no one could make out head & tail of the stunts, they've used Akki(akshay kumar) very well but could've been done much much better..<br /><br />Animation is the worst i've seen in recent movies(90's movies had better animation scenes i guess(initial scene where the car is falling off 'flying should be better word' the road into lake).<br /><br />And the movies name has been mentioned nearly every 20 to 30 mins, just to make sure audiences don't forget the movie name i guess..",0
"When two writers make a screenplay of a horror version of Breakfast At Tiffany's, you know something is going to go right. Drew Barrymore, Patrick Highsmith, Leslie Hope, and Sally Kellerman are excellent actors. The FBI agent was a terrible actor. The scenes where Patrick looked Holly up and down like some sort of objectifier, those was just weird. Drew Barrymore is very hot. Intimate Strangers, where Sally Kellerman worked, was a great part. The weird gummy worm was just weird. Nathan was a very handsome cat. But what was that scene where Patrick followed Holly into a cesspool and Mr. Gooding attacked him? And the scene with Dr. Wallace? What was he doing fumbling around in there? And not every male has a female, as Sally Kellerman stated. And when Patrick and Elizabeth saw Drew outside of Victor's, that was weird.",1
"Make no mistake, Maureen O'Sullivan is easily the most gorgeous Jane ever, and there will never be one more gorgeous. She is visually stunning. That aside, it takes more than a beautiful woman to make a good film. This is a great film. It not only has the classic Tarzan aura, but also the feel of the continuing saga. We become involved with the two white hunters who search for ivory, one of them in love with Jane, the other, a roguish catalyst whose character may be one of the best defined and best examined in movie history.And these characterizations are what make this great action flick stand out as a classic. There is the uncomfortable racism which is depicted. However, the Africans are depicted as individuals, and at the end, two even become more heroic than the white hunters, and stand out as such. In fact, the one not named evokes probably more sympathy from the audience than any other characters. The finale, also, is one of the reasons to enjoy this movie. The great lion attack has never been duplicated, and the horror is well implied with character reactions more so than a modern gore movie would do with graphic depiction. If I left anything out, it is because I do not want to soil the picture for those who haven't seen it. But it is everything you could want in a movie.",1
